pk_id,member_type,member_name,publisher_name,publisher_email,address1,address2,city,state,zipcode,calc_county,c_sum_circ,circulation_day,mcn_classified_email,two_by_two_ad_contact_email,run_two_by_two_ads,general_manager,general_manager_email,member_phone,member_status,parent_company,display_ad_email,deadline,coupons,open_rate,color_rate_inch,color_rate_min
640,Non Member Publication,Pulse - Formerly The Insider,,david.adams@wcfcourier.com,PO Box 540,,Waterloo,IA,50704,Black Hawk,70579 ,Wednesday,carmen.goedken@wcfcourier.com,,Yes,,,(319) 291-1403,No Longer in Business,Lee Enterprises,matt.tranquill@lee.net,Wednesday 12P,,14.285,100,100
1307,Member Publication,Red River Promoter,John Kolness,kolnesscommunications@gmail.com,300 Main St. E.,,Hendrum,MN,56550,Norman,13990 ,1st Thursday,john@redriverpromoter.com,,,,,(218) 861-6708,Paid,Heritage Publications,ads@redriverpromoter.com,1st of month,2,12,16,
300,Non Member Publication,Reminder - Ida Grove,Matt Grohe,ceo@midamericapub.com,214 Main St.,,Ida Grove,IA,51445,Ida,5206 ,Tuesday,info@idacountycourier.com,,,,,(712) 364-3131,Cancelled,Mid-America Publishing,info@idacountycourier.com,Friday 3P,,6.9,1,
60,Non Member Publication,Reminder- Printing Services Inc,,,524 River Ave. N.,,Belmond,IA,50421,Wright,6742 ,Wednesday,mstrayer@psi2go.net,,,,,(641) 444-3955,Cancelled,Printing Services Inc,,Monday 4P,,6.35,60,
1510,Member Publication,Richland Center Shopping News,Mike Fortman,mike.fortman@wcinet.com,272 N. Main St,PO Box 272,Richland Center,WI,53581,Richland,13159 ,Tuesday,mindy.carter@wcinet.com,mindy.carter@wcinet.com,Yes,Mindy Carter,mindy.carter@wcinet.com,(608) 647-2911,Paid,Woodward Communications Inc- Wisconsin,melissa.bomkamp@wcinet.com,Friday 10AM,1,12.7,4,
1337,Member Publication,Sartell St.Stephen Newsleader,Janelle Von Pinnon,janellev@thenewsleaders.com,1622 11th Ave SE,,St. Cloud,MN,56304,Stearns,9764 ,1st & 3rd of Fridays of the month,graphics@thenewsleaders.com,janellev@thenewsleaders.com,Yes,,,(320) 363-7741,Paid,Von Meyer Publishing Inc,janellev@thenewsleaders.com,Tuesday Prior 12P,2,46.15,,
1370,Member Publication,Sauk Rapids Herald,Joyce Frericks,joyce@saukherald.com,522 Sinclair Lewis Ave.,,Sauk Centre,MN,56378,Stearns,4432 ,Saturday,amanda@saukherald.com,pat@saukherald.com,Yes,Mark Klaphake,,(320) 251-1971,Paid,Star Publications LLC,missy@saukherald.com,Wednesday 5P,2,14.93,70,
400,Non Member Publication,Shopper - Maquoketa,Judy Van Hecke,shopper-ads@qwestoffice.net,108 N. Main,,Maquoketa,IA,52060,Jackson,12778 ,Wednesday,shopper-ads@qwestoffice.net,shopper-ads@qwestoffice.net,,,,(563) 652-6803,Cancelled,The Shopper,shopper-ads@qwestoffice.net,Monday 12P,,4.75,125,
1380,Member Publication,The Windom Shopper,Trevor Slette,trevors@windomnews.com,260 10th St.,,Windom,MN,56101,Cottonwood,8800 ,Monday,composition@windomnews.com,composition@windomnews.com,Yes,,,(507) 831-3455,Paid,Citizen Publishing Company,composition@windomnews.com,Thursday 9AM,1,10.7,245,
700,Member Publication,The Shopper - Winterset,Susan Smith,thewintersetshopper@gmail.com,215 N. 1st Ave,PO Box 28,Winterset,IA,50273,Madison,13983 ,Tuesday,,,,,,(515) 462-1535,Paid,Winterset Madisonian Inc,thewintersetshopper@gmail.com,Monday 12P,,4.75,30,
430,Member Publication,Shoppers' Guide,Trevis Mayfield,advertising@monticelloexpress.com,111 E. Grand St,PO BOX 191,Monticello,IA,52310,Jones,7408 ,Wednesday,advertising@monticelloexpress.com,advertising@monticelloexpress.com,Yes,,,(319) 465-3555,Paid,Monticello Express Inc,advertising@monticelloexpress.com,Friday 5P,2,11.4,40,
585,Member Publication,Sioux Center Shopper,Peter Wagner,pww@iowainformation.com,67 3rd St NE,,Sioux Center,IA,51250,Sioux,11771 ,Tuesday,creative@iowainformation.com,creative@iowainformation.com,Yes,Jason Lindsay,jlindsay@iowainformation.com,(712) 631-4825,Paid,Iowa Information Publications Inc,drust@iowainformation.com,Thursday 12P,2,9.69,3,
96,Non Member Publication,Direct Mailer,Gregg Knowles,gregg.knowles@netzero.com,529 n East St.,PO Box 910,Carroll,IA,51401,Carroll,23372 ,Tuesday,gregg.knowles@netzero.com,gregg.knowles@netzero.com,Yes,,,(712) 792-2179,Cancelled,Knowles Publishing Corp,gregg.knowles@netzero.com,Thursday 12P,,10.95,0,
155,Member Publication,The Weekly,Craig Mittag,cmittag@shawmedia.com,503 W. Adams,PO Box 126,Creston,IA,50801,Union,15310 ,Tuesday,advertising@crestonnews.com,advertising@crestonnews.com,Yes,,,(641)782-2141,Paid,Shaw Media Company,advertising@crestonnews.com,Thursday 10 AM,2,17.2,,
45,Member Publication,Southwest Iowa Shopper,Jeff Lundquist,newstelegraphpublisher@gmail.com,410 Walnut St.,PO Box 230,Atlantic,IA,50022,Cass,13237 ,Tuesday,dianab@auduboncountynews.com,ant@ant-news.com,Yes,,,(712) 243-2624,Paid,Community Media Group,ant@ant-news.com,Thursday 5P,2,12.3,375,
140,Non Member Publication,Southwest Iowa Super Shopper,,,"300 West Broadway, Ste. #108",,Council Bluffs,IA,51503,Pottawattamie,40251 ,Tuesday,classifieds@nonpareilonline.com,,,Tony Digilio,tony.digilio@owh.com,(712) 328-1811,Cancelled,Omaha World-Herald,cindy.bunten@nonpareilonline.com,Wednesday 12P,,9.75,375,
1336,Member Publication,St. Joseph Newsleader,Janelle Von Pinnon,janellev@thenewsleaders.com,1622 11th Ave SE,,St. Cloud,MN,56304,Stearns,4100 ,First and Third Fridays of month,graphics@thenewsleaders.com,janellev@thenewsleaders.com,,,,(320) 363-7741,Paid,Von Meyer Publishing Inc,janellev@thenewsleaders.com,Tuesday Prior 12P,2,46.15,,
1318,Non Member Publication,Star Advisor,Mike Dupere,mdupere@montenews.com,223 South 1st St.,,Montevideo,MN,56265,Chippewa,11475 ,Monday,jsjurseth@montenews.com,jsjurseth@montenews.com,,,,(320) 269-2156,Cancelled,Gannett Publishing,mdupere@montenews.com,Thursday 9A,,12,,
1338,Member Publication,Star Shopper,Joyce Frericks,joyce@saukherald.com,522 Sinclair Lewis Ave.,,Sauk Centre,MN,56378,Stearns,15663 ,Friday,amanda@saukherald.com,pat@saukherald.com,Yes,Mark Klaphake,,(320) 352-6577,Paid,Star Publications LLC,missy@saukherald.com,Wednesday 12P,2,12.87,58,
475,Member Publication,Super Shopper Waverly,Tracy Cummings,tracycummings@oelweindailyregister.com,311 W. Bremer,,Waverly,IA,50677,Bremer,9704 ,Tuesday,classifieds@oelweindailyregister.com,ads@oelweindailyregister.com,Yes,Melaine Buzynski,melbuzynski@gmail.com,(319) 352-3334,Paid,Community Media Group Inc,melbuzynski@gmail.com,Thursday by 4PM,2,12.52,,
615,Member Publication,Tama County Shopper,Terry Christensen,tchristensen@messengernews.net,135 W. Main,PO Box 1300,Marshalltown,IA,50158,Marshall,9518 ,Wednesday,knash@timesrepublican.com,psokol@tamatoledonews.com,Yes,,,(641) 753-6611,Paid,Ogden Newspapers,psokol@tamatoledonews.com,Thursday- 12 Noon,2,15.54,120,
1495,Non Member Publication,Tempo,Michael Mathes,mike@deltapublications.com,606 Fremont St.,,Kiel,WI,53042,Manitowoc,18597 ,Tuesday,jmathes@wisconsinmediagroup.com,sschjoth@wisconsinmediagroup.com,Yes,,,(920) 894-2828,Cancelled,Delta Publications Inc,sharon@deltapublications.com,Thursday 5P,,14.92,250,
1405,Member Publication,The Country Peddler,Kathy Svidal,kathy@devilslakejournal.com,516 4th St. NE,,Devils Lake,ND,58301,Ramsey,18379 ,Monday,"classifieds@devilslakejournal.com, jschwab@cmpapers.com",dtoso@devilslakejournal.com,Yes,,,701-662-2127,Paid,MCM Media,dtoso@devilslakejournal.com,Tuesday 12P,2,14,4,
1211,Non Member Publication,The Equalizer Extra- Weekly,Scott Munger,scott@EqualizerOnline.com,121 E. Cherry Street,,Vermillion,SD,57069,Clay,9854 ,Tuesday,penny@equalizeronline.com,,Yes,Jill Munger,,(605) 624-8486,Cancelled,PrintSource Network Inc,ads@equalizeronline.com,Wednesday 5P,,7.25,8.25,
746,Member Publication,The Land,Steve Jameson,sjameson@mankatofreepress.com,418 S Second Street,,Mankato,MN,56001,Blue Earth,16683 ,Friday,dpetterson@thelandonline.com,dpetterson@thelandonline.com,Yes,Deb Petterson,dpetterson@thelandonline.com,(507) 345-4523,Paid,CNHI,dpetterson@thelandonline.com,Thursday 12P,2,31,10,
1225,Member Publication,The Valley Shopper,Michael Sipe,mike@midlandpublishing.com,203 S. 3rd St.,,Milbank,SD,57252,Grant,16767 ,Monday,midpub@midlandpublishing.com,midpub@midlandpublishing.com,Yes,,,(605) 432-1000,Paid,Midland Publishing & Printing Co,midpub@midlandpublishing.com,Thursday 12P,2,8.16,135,
1311,Non Member Publication,The Valley Shopper - Crookston,Don Forney,dforney@localiq.com,124 S. Broadway,,Crookston,MN,56716,Polk,9459 ,Saturday,dforney@localiq.com,dforney@localiq.com,Yes,,,(218) 281-2730,Cancelled,Gannett,dforney@localiq.com,Tuesday 12P,,12.25,2.5,
9100,Member Publication,Thrifty Nickel,Debbie Anselm,danselm@qctimes.com,500 E. Third St.,,Davenport,IA,52801,Scott,28864 ,Thursday,Sbrown@qconline.com,,Yes,,,(563) 383-2200,Cancelled,Lee Enterprises,bmenster@qctimes.com,Friday 3P,,16,,
1075,Non Member Publication,Thrifty Nickel of St. Louis,,,4002 Ehlmann Rd.,,St. Peters,MO,63376,Saint Charles,0 ,,stlouis@thriftynickelads.com,,,,,(636) 928-0550,Cancelled,,stlouis@thriftynickelads.com,,,,,
101,Member Publication,Tidbits of Linn & Johnson Cty- Hawkeye Publishing,Russ Swart,russ@tidbitpapers.com,147 Marion Blvd,Suite D,Marion,IA,52302,Linn,10063 ,Tuesday,russ@tidbitpapers.com,russ@tidbitpapers.com,Yes,,,(319) 360-3936,Paid,Hawkeye Publishing,russ@tidbitpapers.com,Tuesday 12 Noon,2,10,0,
1530,Non Member Publication,Tri-County Foxxy Shoppers,Paul Pehler,paul.pehler@lee.net,401 3rd St N,,La Crosse,WI,54601,La Crosse,23995 ,Monday,ads@lacrossetribune.com,,Yes,,,(608) 791-8291,Out of Business,Lee Enterprises,melissa.lara@lee.net,Thursday 4P,,21.6,205,
70,Member Publication,Tri-County Shopper,Jeri Lyn Rupe,shopper@netins.net,208 Weaver Rd.,PO Box 168,Bloomfield,IA,52537,Davis,10033 ,Wednesday,shopper@netins.net,shopper@netins.net,Yes,,,(641) 664-1333,Paid,,shopper@netins.net,Monday 10A,2,8.5,50,50
47,Member Publication,Tri-County Special,Jason Major,office@calhouncountyreminder.com,,PO Box 106,Rockwell City,IA,50579,Calhoun,7988 ,Wednesday,trico@win-4-u.net,trico@win-4-u.net,Yes,,,(712) 688-2216,Paid,Dudley Printing Inc,dpisales9@gmail.com,Friday 5P,2,5.25,0,
620,Member Publication,Vinton Livewire,Tracy Cummings,tracycummings@oelweindailyregister.com,108 E. 5th Street,,Vinton,IA,52349,Benton,11682 ,Wednesday,"comp@vintonnewspapers.com, comp1@vintonnewspapers.com",krista@vintonnewspapers.com,Yes,,,(319) 472-3303,Paid,Community Media Group Inc,comp@vintonnewspapers.com,Friday 12P,2,11.55,2.5,
630,,Washington County Shoppers Guide,Matt Bryant,pub@southeastiowaunion.com,111 North Marion Ave,,Washington,IA,52353,Washington,14056 ,Tuesday,coordinators@ffledger.com,coordinators@ffledger.com,Yes,,,(319) 653-2191,Combined,Folience,julie.scott@southeastiowaunion.com,Thursday 3P,,12,75,
1387,Non Member Publication,West Sherburne/Clearwater Tribune,Gary W Meyer,editor@westsherburnetribune.net,29 Lake St. S.,,Big Lake,MN,55309,Sherburne,0 ,,,,,,,(763) 263-3602,Cancelled,,,,,,,
250,,The Winnebago-Hancock Shopper,,,"687 S. Taft Ave,  Suite 2",,Mason City,IA,50401,Cerro Gordo,11153 ,Tuesday,msc.classads@globegazette.com,,,,,641-421-0518,,Lee Enterprises,MSC.MajorsMail@globegazette.com,Thursday 12Noon,,8.2,60,
1390,Member Publication,Winona Post,Patrick Marek,patrick@winonapost.com,64 E. Second St.,,Winona,MN,55987,Winona,19406 ,Wednesday,class@winonapost.com,class@winonapost.com,Yes,,,(507) 452-1262,Paid,Winona Post Inc,patrick@winonapost.com,Monday 4PM,2,14.75,150,
1500,Non Member Publication,Wisconsin Iowa Shopping News,Bob Woodward III,bob.woodward@wcinet.com,405 N. Marquette Road,,Prairie du Chien,WI,53821,Crawford,16551 ,Tuesday,,,Yes,Mindy Carter,mindy.carter@wcinet.com,608-326-2457,No Longer in Business,Woodward Communications Inc- Wisconsin,,Thurs Noon,2,13.2,4,
5482,Assoc. Member,Page One Printers,Paul Hunting,PHunting@cherryroadpublishing.com,1929 Engebretson St,,Slayton,MN,56172,Murray,0 ,,,,,Steve Torkelson,storkelson@cherryroadpublishing.com,507-836-6540,Paid,507-393-1024,,,,,,
5483,Non Assoc. Member,Horizon Publishing Co,Kim Adams,ads@jesupcitizenherald.com,PO Box 545,,Jesup,IA,50648,Buchanan,0 ,,,,,,,(319) 827-1128,Cancelled,,,,,,,
5484,Non Assoc. Member,JB Multimedia,Justin Gerena,info@jbmultimedia.net,"6800 Jericho Tpke, Ste 120W",,Syosset,NY,11791,Nassau,0 ,,,,,,,(888) 592-3212 x710,Cancelled,,,,,,,
5485,Assoc. Member,Kansas Publishing,Joey Young,joey@kspublishingventures.com,116 S Main St,,Hillsboro,KS,67063,Marion,0 ,,,,,,,316-712-2125,Paid,,,,,,,
5486,Non Assoc. Member,KANTAR MEDIA/ SRDS,Michael Forgash,michael.forgash@srds.com,1451 Millmoore Terrace,,Dacula,GA,30019,Gwinnett,0 ,,,,,,,(917)-421-9071,Cancelled,,,,,,,
5487,Non Assoc. Member,NAPS,Gary Lipton,glipton@napsnet.com,501 Fifth Ave. 9th Floor,,New York,NY,10017,New York,0 ,,,,,,,(800) 222-5551,Cancelled,,,,,,,
5488,Assoc. Member,Steel City Corporation,Jim Smith,jsmith@scity.com,1000 Hedstrom Drive,,Ashland,OH,44804,Hancock,0 ,,,,,,,,Paid for 2022-2023,,,,,,,
5489,Assoc. Member,Woodward Printing Services,Brent Cochems,brent.cochems@wcinet.com,11 Means Dr,,Platteville,WI,53818,Grant,0 ,,,,,,,(800) 348-5515,Paid,,,,,,,
5491,Non Assoc. Member,Forum Communications Printing,Laura Feldner,lfeldner@forumprinting.com,4601 16th Ave N,,Fargo,ND,58102,Cass,0 ,,,,,,,(800) 765-2937,Good Standing,,,,,,,
5492,Bronze Assoc. Member,Mediabids,June Peterson,jpeterson@mediabids.com,448 Main St,PO BOX 839,Winsted,CT,06098,Litchfield,0 ,,,,,,,(860) 379-9602 x506,Paid,,,,,,,
5494,Gold Assoc. Member,ASK-CRM -(Streamlined Office Solutions LLC),Robin E. Smith,robin.smith@ask-crm.com,193 Mayflower Rd,,Johnson City,TN,37601,Washington,0 ,,,,,,,(410) 449-4777,Paid,Streamlined Office Solutions,,,,,,
5495,Silver Assoc. Member,Circulation Verification Council - CVC,Tim Bingaman,tbingaman@cvcaudit.com,"12166 Old Big Bend Rd, Suite 210",,Kirkwood,MO,63122,Saint Louis,0 ,,,,,,,(314) 966-7711,Paid,,,,,,,
9200,Non Assoc. Member,Amber Technologies Times,Scott Hallam,scott@amberplains.com,3238 Golden Meadow Way,,Colorado Springs,CO,80908,El Paso,0 ,,sshallam@hotmail.cm,sshallam@comcast.net,,Sam Hallam,sam@amberplains.com,719-332-5033,Good Standing,Amber Technologies LLC,,Friday,,20,25,
9201,Non Member Publication,Midwest Free Community Papers,Lee Borkowski,director@mfcp.org,29160 Hell Hollow Road,Suite 100,Richland Center,WI,53581,Richland,0 ,,office@mfcp.org,office@mfcp.org,Yes,Sue Pilla,,715-340-9500,Good Standing,MFCP,office@mfcp.org,,,,,
9202,Non Assoc. Member,Pride In Graphics,Mike E,mike@prideingraphics.com,6400 N Northwest Hwy,PO Box 201,Chicago,IL,60631,Cook,0 ,,,,,,,312-320-2900,Good Standing,,,,,,,
9203,Non Member Publication,Tower Publications,Pam Sapp,pam@towerpublications.com,4400 NW 36th Ave,,Gainesville,FL,32606,Alachua,0 ,,,,,,,800-294-4033,Good Standing,,,,,,,
9204,Non Member Publication,Wide Area Classifieds,,,113 North Minnesota Street,PO Box 9,New Ulm,MN,56073,Brown,0 ,,orders@wideareaclassifieds.com,,,,,800-324-8236,Good Standing,,,,,,,
9209,Non Member Publication,Bonny Buyer,William Helenthal,billh@dailydem.com,1226 Avenue H,PO Box 160,Ft Madison,IA,52627,Lee,11903 ,Wednesday,,tonys@dailydem.com,Yes,Steve Helenthal,,319-372-6421,Cancelled,Community Media Group Inc,tonys@dailydem.com,Friday 12P,,9,,
9210,Non Member Publication,Nationwide Advertising,Cliff Whitt,sales@nationwideadvertising.com,5955 Masters Blvd,,Orlando,FL,32819,Orange,0 ,,sales@nationwideadvertising.com,,,,,407-909-1644,Good Standing,,,,,,,
9211,Non Member Publication,Northeast Iowa Shopper (Wrightz Auction),,,,,Charles City,IA,50616,Floyd,16346 ,,,,,,,(641) 228-3211,Good Standing,Use for purpose of Wrightz Auction (Gilbert's) only,"chris@charlescitypress.com, graphics@charlescitypress.com",Thursday 12P,,22.69,4,
9212,Non Member Publication,Mitchell County Press,,,300 N Washington,,Mason City,IA,50402,Cerro Gordo,6666 ,,,,,,,641-421-0518,Good Standing,Lee Enterprises,john.frels@globegazette.com,Thursday 2P,,10.71,5,
9214,Non Member Publication,Century Homes of Oskaloosa,,,1712 Pella Ave,,Oskaloosa,IA,52577,Mahaska,0 ,,edkinkade@centuryhomes.net,,,,,641-672-2344,Good Standing,,,,,,,
9215,Member Publication,Lake Panorama Times,Shane Goodman,shane@dmcityview.com,"8101 Birchwood Court, Suite D",,Johnston,IA,50131,Polk,2000 ,Thursday,jolene@iowalivingmagazines.com,jolene@iowalivingmagazines.com,Yes,,,515-953-4822,Paid,Big Green Umbrella Media,jolene@iowalivingmagazines.com,Monthly by 4PM,2,0,,
9216,Member Publication,"Patriot News MN, LLC",William Morgan,reporter.bill@patriotnewsmn.com,14054 Bank St.,,Becker,MN,55308,Sherburne,17270 ,Saturday,legals.kathy@patriotnewsmn.com,legals.kathy@patriotnewsmn.com,,,,(763) 275-0275,Paid,"Wm Morgan, C Meyer, C Hanson, K Nelson (Owners)",,Wednesday 12P,2,17.6,,
9218,Non Member Publication,New Hampton Tribune & Nashua Reporter,,,,,,,,No County Identified,0 ,,,,,,,,Good Standing,,accounting@nhtrib.com,Wednesday 5P,,11.85,3,
9226,Non Member Publication,American Classified Services,Leigh Ann Kristiansen,leighann@advertisingresults.com,2318 Westfield Dr.,PO Box 80184,"Billings, MT 59108",MT,59106,Yellowstone,0 ,,leighann@advertisingresults.com,leighann@advertisingresults.com,,,,618-351-7570,,,,,,,,
9227,Member Publication,Hometown Trader,Lisa Miller,lmiller@ncppub.com,135 S Main St,,Salem,SD,57058,Mccook,4491 ,Wednesday,ads@ncppub.com,ads@ncppub.com,Yes,,,(605) 425-2361,Paid,"New Century Press, Inc",ads@ncppub.com,Friday 12P,2,6,,150
9228,Member Publication,Shopping Guide,Lisa Miller,lmiller@ncppub.com,"100 W Hwy 38, Ste K",PO Box 474,Hartford,SD,57033,Minnehaha,10282 ,Wednesday,ads@ncppub.com,ads@ncppub.com,Yes,,,(605) 321-9153,Paid,"New Century Press, Inc",ads@ncppub.com,Friday 12P,2,6,,150
9229,Non Member Publication,Hansen Auction Group,,,E1026 State Road 170,,Downing,WI,54734,Dunn,0 ,,director@mfcp.org,,,,,,,,,,,,,
9230,Assoc. Member,Saturation Mailers Coalition,Donna Hanbery - Executive Director,hanbery@hnclaw.com,33 South 6th Street,Suite 4160,Minneapolis,MN,55424,Hennepin,0 ,,,,,,,(612) 340-9350,Paid,,,,,,,
9231,Non Member Publication,OELWEIN DAILY REGISTER,,,25 1st Street SE,,Oelwein,IA,50662,Fayette,0 ,,,,,,,,,,ads@oelweindailyregister.com,Thursday 1P,,9.05,2.5,
9232,Non Member Publication,Oshkosh Herald,Karen Schneider,karen@oshkoshherald.com,923 S Main St #C,,Oshkosh,WI,54902,Winnebago,29783 ,Wednesday,classifieds@oshkoshherald.com,,,,,(920) 508-9000,Cancelled,,advertise@oshkoshherald.com,Friday noon,,44,,
9234,Assoc. Member,Metro Creative,Jennifer Steiner,jsteiner@metro-email.com,PO Box 130,,Roslyn Heights,NY,11577,Nassau,0 ,,,,,,,(800) 223-1600,Paid,,,,,,,
9235,Non Member Publication,Iowa Living - Urbandale,Shane Goodman,shane@dmcityview.com,"8101 Birchwood Court, Suite D",,Johnston,IA,50131,Polk,0 ,,,,,Jolene Goodman,jolene@iowalivingmagazines.com,,,Big Green Umbrella,,,,,,
9236,Non Member Publication,Iowa Living - Ankeny,Shane Goodman,shane@dmcityview.com,,,,,,No County Identified,0 ,,,,,Jolene Goodman,jolene@iowalivingmagazines.com,,,Big Green Umbrella,,,,,,
9237,Member Publication,The Shopper,Fernando Diaz,fernando@myshopper.biz,924 E 162nd St,,South Holland,IL,60473,Cook,7000 ,Wednesday,fernando@myshopper.biz,fernando@myshopper.biz,Yes,,,(708) 333-5901,Paid,,fernando@myshopper.biz,Friday 4,2,6.5,,
9241,Member Publication,Dairy Star,Joyce Frericks,joyce@saukherald.com,522 Sinclair Lewis Ave,,Sauk Centre,MN,56378,Stearns,14930 ,Saturday,,,,Mark Klapake,mark.k@dairystar.com,(320) 352-6577,Paid,Star Publications LLC,joyce@saukherald.com,Friday,1,19.4,295.0015,
9242,Non Member Publication,Independence Bulletin-Journal,Tracy Cummings,tracycummings@oelweindailyregister.com,900 5th Ave Ne,,Independence,IA,50644,Buchanan,1547 ,Wednesday,,,,,,319-334-2557 EXT 1212,Display Ad Network sales only,Deb Weigel's Paid Pubs,tracy.cummings@oelweindailyregister.com,,,13,,
9243,Non Member Publication,Cedar Valley Times,Tracy Cummings,tracycummings@oelweindailyregister.com,,,,,,No County Identified,980 ,Friday,,,,,,,Display Ad Network sales only,Deb Weigel's Paid Pubs,tracy.cummings@oelweindailyregister.com,,,13,,
9244,Non Member Publication,Waverly Democrat,Tracy Cummings,tracycummings@oelweindailyregister.com,,,,,,No County Identified,2840 ,Thursday,,,,,,,Display Ad Network sales only,Deb Weigel's Paid Pubs,tracy.cummings@oelweindailyregister.com,,,13,,
9246,Non Member Publication,Charles City Press,Christopher Hall,christopherHall@charlescitypress.com,801 Riverside Drive,,Charles City,IA,50616,Floyd,2000 ,Tuesday/Friday,classifiedads@charlescitypress.com,,,,,641-228-3211,Display Ad Network sales only,,christopherHall@charlescitypress.com,Day prior 10AM,,12.22,3,
9251,Non Member Publication,Access To Media,Jennifer Roissing,JenniferR@accesstomedia.com,432 Front Street,,Chicopee,MA,01013,Hampden,0 ,,,,,,,(413)206-0705,Cancelled,,,,,,,
9255,Non Member Publication,Publication Printers,Samantha Coulter,samantha.coulter@publicationprinters.com,2001 S. Platte River Dr.,,Denver,CO,80223,Denver,0 ,,,,,,,303-936-0303,Cancelled,,,,,,,
9256,Bronze Assoc. Member,Merrimac Plus,Carol Toomey,carolaction@aol.com,100 Domino Drive,,Concord,MA,01720,Middlesex,0 ,,,,,,,978-371-2442,Cancelled,,,,,,,
9257,Non Member Publication,AgWeek,,,101 5th St N,,Fargo,ND,58102-4826,Cass,0 ,Monday,,,,,,701-680-2452,Display Ad Network sales only,Forum Communications Company,Kbauer@agweek.com,Wednesday  12 noon,,28,4,
9259,Board Member,Greg Birkett - Board Member,,,2966 J.F.K. Road,,Dubuque,IA,52002,Dubuque,0 ,,,,,,,,,,,,,,,
9260,Non Member Publication,MVP - RISING STAR TEAM MEMBERS,Lee Borkowski,DIRECTOR@MFCP.ORG,,,,,,No County Identified,0 ,,,,,Cassey Recore,CASSEY@COMMMUNITYPUBLISHERS.COM,,,,,,,,,
9261,,NON-MEMBER REGISTRATION PORTAL,mfcp office,DIRECTOR@MFCP.ORG,,,,,,No County Identified,0 ,,,,,,,,,,,,,,,
9262,Board Member,Lloyd Uthe - Board Member,,,4009 W. 49th St. Ste 105,,Sioux Falls,SD,57106,Minnehaha,0 ,,,,,,,,,,,,,,,
9264,Member Publication,Longfellow Nokomis Messenger,Tesha M. Christensen,tesha@tmcpub.com,5139 34th Ave. S. #17097,,Minneapolis,MN,55417,Hennepin,22000 ,Thursday,tesha@tmcpub.com,tesha@tmcpub.com,,,,612-345-9998,Paid,TMC Publications Co.,tesha@tmcpub.com,Monday 4 PM,2,27.14,0,
9265,Member Publication,Midway Como Frogtown Monitor,Tesha M. Christensen,tesha@tmcpub.com,5139 34th Ave. S. #17097,,Minneapolis,MN,55417,Hennepin,23500 ,Thursday,tesha@tmcpub.com,tesha@tmcpub.com,,,,612-345-9998,Paid,TMC Publications Co.,tesha@tmcpub.com,Monday 4PM,2,27.14,0,
9266,Member Publication,Southwest Connector,Tesha M. Christensen,tesha@tmcpub.com,5139 34th Ave. S. #17097,,Minneapolis,MN,55417,Hennepin,25500 ,Thursday,tesha@tmcpub.com,tesha@tmcpub.com,,,,612-345-9998,Paid,TMC Publications Co.,tesha@tmcpub.com,Monday 4PM,2,27.14,0,
9267,Non Member Publication,The Savings Guide,Nancy Tulli,,PO BOX 169,,Mechanicsburg,PA,17055,`,0 ,,,,,,,717-691-1044,,,,,,,,
9269,Assoc. Member,DESIGN2PRO,Mikhail Kurov,,276 Schulte Ln,,Santa Barbara,CA,93105-1962,Santa Barbara,0 ,,,,,Howard Barbanel,howard@design2pro.com,516-860-7440,Paid for 2023-2024,,,,,,,
9270,Non Member Publication,Waterloo Courier,David Adams,david.adams@wcfcourier.com,,,,,,No County Identified,0 ,,,,,,,1-319-291-1495,,Lee Enterprises,kelly.balvanz@lee.net,Thursday 3PM,,14.29,100,100
9271,Non Member Publication,Golden Link,,,,,,,,No County Identified,0 ,Wednesday,,,,,,507-456-4299,Display Ad Network sales only,Steele County Times,wpriebe@steelecountytimes.com,Friday NOON,,11.429,,
9272,Non Member Publication,Iowa Farmer Today,,,1625 Boyson RD,Suite 106,Hiawatha,IA,52233,Linn,0 ,Saturday,,,,Anne Armstrong- Lee Agri-Media Consultant,,319-360-8242,,Lee Agri-Media,anne.armstrong@iowafarmertoday.com,Thursday prior week 10AM,,75.17,,
9273,Non Member Publication,Cape Cod Marketing Partner LLC,Stephen Kota,stephen.kota@evdodepotusa.com,133 Falmouth Road,Suite 1D,Mashpee,MA,02649,Barnstable,0 ,,,,,,,508-353-0017,,,,,,,,
9274,Member Publication,Quik Quarter,Steve Michels,steve@michelscom.com,2940 Motherlode Drive,,Rapid City,SD,57702,Pennington,5500 ,Thursday,margi@michelscom.com,margi@michelscom.com,,Kevin Culhane,kevin@michelsoncom.com,605-332-0421,Paid,Michels Communications,margi@michelscom.com,Monday 5pm,2,,0,
9275,Non Member Publication,North Iowa Shopper(was Mason City & Winnebago),,,687 S. Taft Ave,Suite 2,Mason City,IA,50401,Cerro Gordo,33955 ,Tuesday,msc.classads@globegazette.com,,,,,641-421-0503,No Longer in Business,Lee Enterprises,john.frels@globegazette.com,Thursday 2PM,,10,60.00115,60
9280,Board Member,Julia Thompson - Board Member,,,110 W. Pearl St.,,Albert Lea,MN,56007,Freeborn,0 ,,,,,,,,,,,,,,,
9281,Board Member,Brad Hicks - Board Member,,,14 E. Nebraska St.,,Algona,IA,50511,Kossuth,0 ,,,,,,,,,,,,,,,
9282,Board Member,DAN JUFFER - BOARD MEMBER,,,8101 Birchwood Court- Suite D,,Johnston,IA,50131,Polk,0 ,,,,,,,,,,,,,,,
